user_id,timestamp,event_type,device_id,location,resource,sensitivity,data_volume_mb,session_duration_min,success_flag,files_accessed,sensitive_files_accessed,failed_logins
U004,2026-08-20 06:34:00,login,LAPTOP-004,Port Lindachester,/company/normal,normal,72.57,77,1,14,4,0
U008,2026-08-20 06:44:00,login,LAPTOP-008,Port Jesseville,/company/normal,normal,66.08,93,1,30,7,0
U014,2026-08-20 07:02:00,login,LAPTOP-014,Donaldside,/company/normal,normal,57.52,118,1,12,1,0
U018,2026-08-20 07:40:00,login,LAPTOP-018,Kaylamouth,/company/normal,normal,40.11,90,1,12,1,0
U003,2026-08-20 07:45:00,login,LAPTOP-003,Lake Debra,/company/normal,normal,41.57,72,1,16,1,0
U006,2026-08-20 07:51:00,login,LAPTOP-006,Lake Stephenville,/company/normal,normal,183.35,119,1,21,5,0
U009,2026-08-20 08:17:00,login,LAPTOP-009,West Michael,/company/normal,normal,82.85,84,1,21,7,0
U005,2026-08-20 08:28:00,login,LAPTOP-005,Curtisfurt,/company/normal,normal,36.5,76,1,12,1,0
U015,2026-08-20 08:34:00,login,LAPTOP-015,Coxberg,/company/normal,normal,92.32,82,1,27,6,0
U017,2026-08-20 08:35:00,login,LAPTOP-017,Riceside,/company/normal,normal,56.06,89,1,15,1,0
U007,2026-08-20 08:48:00,login,LAPTOP-007,Barbaraland,/company/normal,normal,105.14,64,1,17,2,0
U010,2026-08-20 08:48:00,login,LAPTOP-010,New Cynthiaside,/company/normal,normal,47.33,79,1,20,1,0
U011,2026-08-20 09:05:00,login,LAPTOP-011,Lake Mark,/company/normal,normal,98.48,114,1,24,4,0
U001,2026-08-20 09:14:00,login,LAPTOP-001,East Jill,/company/normal,normal,67.1,96,1,21,3,0
U012,2026-08-20 09:22:00,login,LAPTOP-012,Richardland,/company/normal,normal,61.63,88,1,22,6,0
U013,2026-08-20 09:38:00,login,LAPTOP-013,Jasonfort,/company/normal,normal,72.82,76,1,17,5,0
U002,2026-08-20 10:01:00,login,LAPTOP-002,Johnsonland,/company/normal,normal,41.43,66,1,19,1,0
U016,2026-08-20 11:59:00,login,LAPTOP-016,East Courtneychester,/company/normal,normal,22.03,82,1,5,0,0
U002,2026-08-21 07:12:00,login,LAPTOP-002,Johnsonland,/company/normal,normal,71.08,124,1,12,1,0
U009,2026-08-21 07:23:00,login,LAPTOP-009,West Michael,/company/normal,normal,83.79,109,1,21,4,0
U004,2026-08-21 07:49:00,login,LAPTOP-004,Port Lindachester,/company/normal,normal,61.85,67,1,20,8,0
U006,2026-08-21 07:55:00,login,LAPTOP-006,Lake Stephenville,/company/normal,normal,138.98,68,1,33,9,0
U003,2026-08-21 08:02:00,login,LAPTOP-003,Lake Debra,/company/normal,normal,41.51,106,1,17,2,0
U013,2026-08-21 08:10:00,login,LAPTOP-013,Jasonfort,/company/normal,normal,97.14,66,1,17,4,0
U014,2026-08-21 08:15:00,login,LAPTOP-014,Donaldside,/company/normal,normal,53.46,69,0,22,2,1
U007,2026-08-21 08:17:00,login,LAPTOP-007,Barbaraland,/company/normal,normal,110.39,95,1,27,6,0
U017,2026-08-21 08:35:00,login,LAPTOP-017,Riceside,/company/normal,normal,51.2,72,1,13,1,0
U008,2026-08-21 08:53:00,login,LAPTOP-008,Port Jesseville,/company/normal,normal,105.24,59,1,17,1,0
U001,2026-08-21 08:55:00,login,LAPTOP-001,East Jill,/company/normal,normal,76.33,109,1,13,7,0
U011,2026-08-21 08:59:00,login,LAPTOP-011,Lake Mark,/company/normal,normal,77.16,158,1,24,8,0
U012,2026-08-21 09:04:00,login,LAPTOP-012,Richardland,/company/normal,normal,70.88,86,1,14,2,0
U005,2026-08-21 09:05:00,login,LAPTOP-005,Curtisfurt,/company/normal,normal,25.23,81,1,13,3,0
U018,2026-08-21 09:20:00,login,LAPTOP-018,Kaylamouth,/company/normal,normal,82.16,105,1,8,1,0
U015,2026-08-21 09:24:00,login,LAPTOP-015,Coxberg,/company/normal,normal,52.57,66,1,26,5,0
U010,2026-08-21 10:42:00,login,LAPTOP-010,New Cynthiaside,/company/normal,normal,29.45,70,1,17,0,0
U016,2026-08-21 12:59:00,login,LAPTOP-016,East Courtneychester,/company/normal,normal,42.36,43,1,14,0,0
U008,2026-08-22 06:31:00,login,LAPTOP-008,Port Jesseville,/company/normal,normal,134.89,90,1,13,4,0
U013,2026-08-22 06:37:00,login,LAPTOP-013,Jasonfort,/company/normal,normal,50.71,84,1,24,6,0
U010,2026-08-22 07:09:00,login,LAPTOP-010,New Cynthiaside,/company/normal,normal,54.21,74,1,14,3,0
U007,2026-08-22 07:20:00,login,LAPTOP-007,Barbaraland,/company/normal,normal,72.02,130,1,25,7,0
U006,2026-08-22 07:36:00,login,LAPTOP-006,Lake Stephenville,/company/normal,normal,113.31,109,1,29,6,0
U015,2026-08-22 08:14:00,login,LAPTOP-015,Coxberg,/company/normal,normal,100.5,92,1,13,4,0
U003,2026-08-22 08:51:00,login,LAPTOP-003,Lake Debra,/company/normal,normal,42.88,73,1,17,1,0
U009,2026-08-22 08:58:00,login,LAPTOP-009,West Michael,/company/normal,normal,71.28,143,1,19,5,0
U017,2026-08-22 09:05:00,login,LAPTOP-017,Riceside,/company/normal,normal,70.37,78,1,9,1,0
U011,2026-08-22 09:15:00,login,LAPTOP-011,Lake Mark,/company/normal,normal,60.24,112,1,15,5,0
U004,2026-08-22 09:17:00,login,LAPTOP-004,Port Lindachester,/company/normal,normal,96.59,52,1,21,6,0
U012,2026-08-22 09:34:00,login,LAPTOP-012,Richardland,/company/normal,normal,85.69,105,0,22,4,1
U001,2026-08-22 09:49:00,login,LAPTOP-001,East Jill,/company/normal,normal,79.28,70,1,16,3,0
U018,2026-08-22 09:55:00,login,LAPTOP-018,Kaylamouth,/company/normal,normal,39.22,84,1,13,3,0
U016,2026-08-22 10:08:00,login,LAPTOP-016,East Courtneychester,/company/normal,normal,32.31,86,1,9,0,0
U014,2026-08-22 10:37:00,login,LAPTOP-014,Donaldside,/company/normal,normal,69.58,90,1,18,4,0
U001,2026-08-23 06:40:00,login,LAPTOP-001,East Jill,/company/normal,normal,102.97,89,1,25,6,0
U003,2026-08-23 07:04:00,login,LAPTOP-003,Lake Debra,/company/normal,normal,37.34,95,1,20,5,0
U008,2026-08-23 07:07:00,login,LAPTOP-008,Port Jesseville,/company/normal,normal,96.56,120,1,19,5,0
U014,2026-08-23 07:16:00,login,LAPTOP-014,Donaldside,/company/normal,normal,72.54,91,1,14,1,0
U006,2026-08-23 07:35:00,login,LAPTOP-006,Lake Stephenville,/company/normal,normal,73.05,102,1,25,10,0
U007,2026-08-23 08:00:00,login,LAPTOP-007,Barbaraland,/company/normal,normal,144.3,119,0,24,10,1
U005,2026-08-23 08:33:00,login,LAPTOP-005,Curtisfurt,/company/normal,normal,51.72,36,1,11,1,0
U009,2026-08-23 08:34:00,login,LAPTOP-009,West Michael,/company/normal,normal,68.83,90,1,23,14,0
U017,2026-08-23 08:40:00,login,LAPTOP-017,Riceside,/company/normal,normal,64.33,69,1,17,1,0
U018,2026-08-23 08:40:00,login,LAPTOP-018,Kaylamouth,/company/normal,normal,50.86,32,1,10,0,0
U002,2026-08-23 08:43:00,login,LAPTOP-002,Johnsonland,/company/normal,normal,57.79,128,0,10,1,1
U012,2026-08-23 09:10:00,login,LAPTOP-012,Richardland,/company/normal,normal,64.77,114,1,23,6,0
U004,2026-08-23 09:38:00,login,LAPTOP-004,Port Lindachester,/company/normal,normal,115.22,70,1,18,5,0
U010,2026-08-23 09:49:00,login,LAPTOP-010,New Cynthiaside,/company/normal,normal,51.8,102,1,12,0,0
U016,2026-08-23 09:58:00,login,LAPTOP-016,East Courtneychester,/company/normal,normal,16.74,102,1,6,0,0
U011,2026-08-23 10:07:00,login,LAPTOP-011,Lake Mark,/company/normal,normal,102.37,128,1,16,5,0
U015,2026-08-23 10:48:00,login,LAPTOP-015,Coxberg,/company/normal,normal,87.94,47,1,30,7,0
U013,2026-08-23 11:46:00,login,LAPTOP-013,Jasonfort,/company/normal,normal,101.07,116,1,16,0,0
U018,2026-08-24 06:13:00,login,LAPTOP-018,Kaylamouth,/company/normal,normal,46.41,110,1,18,1,0
U008,2026-08-24 06:53:00,login,LAPTOP-008,Port Jesseville,/company/normal,normal,116.89,80,1,17,4,0
U004,2026-08-24 06:58:00,login,LAPTOP-004,Port Lindachester,/company/normal,normal,47.71,73,1,15,1,0
U014,2026-08-24 07:08:00,login,LAPTOP-014,Donaldside,/company/normal,normal,40.97,109,1,13,0,0
U011,2026-08-24 08:05:00,login,LAPTOP-011,Lake Mark,/company/normal,normal,85.86,141,1,13,6,0
U001,2026-08-24 08:12:00,login,LAPTOP-001,East Jill,/company/normal,normal,74.49,71,1,9,3,0
U009,2026-08-24 08:15:00,login,LAPTOP-009,West Michael,/company/normal,normal,78.2,87,1,11,2,0
U006,2026-08-24 09:01:00,login,LAPTOP-006,Lake Stephenville,/company/normal,normal,126.45,149,1,30,6,0
U007,2026-08-24 09:23:00,login,LAPTOP-007,Barbaraland,/company/normal,normal,141.87,57,1,24,6,0
U015,2026-08-24 09:30:00,login,LAPTOP-015,Coxberg,/company/normal,normal,114.6,94,1,20,2,0
U002,2026-08-24 09:48:00,login,LAPTOP-002,Johnsonland,/company/normal,normal,40.6,35,1,13,1,0
U013,2026-08-24 09:48:00,login,LAPTOP-013,Jasonfort,/company/normal,normal,58.3,159,1,17,1,0
U003,2026-08-24 09:49:00,login,LAPTOP-003,Lake Debra,/company/normal,normal,54.67,128,1,15,0,0
U017,2026-08-24 09:55:00,login,LAPTOP-017,Riceside,/company/normal,normal,45.11,73,1,14,1,0
U016,2026-08-24 10:10:00,login,LAPTOP-016,East Courtneychester,/company/normal,normal,29.08,115,1,7,0,0
U012,2026-08-24 10:31:00,login,LAPTOP-012,Richardland,/company/normal,normal,75.87,21,1,22,5,0
U018,2026-08-25 07:36:00,login,LAPTOP-018,Kaylamouth,/company/normal,normal,60.69,95,1,9,1,0
U009,2026-08-25 07:37:00,login,LAPTOP-009,West Michael,/company/normal,normal,35.25,121,1,18,4,0
U015,2026-08-25 07:42:00,login,LAPTOP-015,Coxberg,/company/normal,normal,30.12,58,1,24,4,0
U005,2026-08-25 07:57:00,login,LAPTOP-005,Curtisfurt,/company/normal,normal,57.95,84,1,6,1,0
U011,2026-08-25 08:03:00,login,LAPTOP-011,Lake Mark,/company/normal,normal,84.62,64,0,19,1,1
U010,2026-08-25 08:04:00,login,LAPTOP-010,New Cynthiaside,/company/normal,normal,49.9,57,1,11,0,0
U006,2026-08-25 08:07:00,login,LAPTOP-006,Lake Stephenville,/company/normal,normal,106.51,101,1,34,12,0
U008,2026-08-25 08:37:00,login,LAPTOP-008,Port Jesseville,/company/normal,normal,82.36,86,1,32,10,0
U004,2026-08-25 08:41:00,login,LAPTOP-004,Port Lindachester,/company/normal,normal,35.72,97,1,21,6,0
U007,2026-08-25 09:04:00,login,LAPTOP-007,Barbaraland,/company/normal,normal,140.36,87,1,24,11,0
U014,2026-08-25 09:32:00,login,LAPTOP-014,Donaldside,/company/normal,normal,49.64,154,1,11,0,0
U016,2026-08-25 09:34:00,login,LAPTOP-016,East Courtneychester,/company/normal,normal,22.21,87,1,7,1,0
U001,2026-08-25 09:48:00,login,LAPTOP-001,East Jill,/company/normal,normal,86.19,102,1,20,3,0
U012,2026-08-25 09:57:00,login,LAPTOP-012,Richardland,/company/normal,normal,70.01,93,1,13,1,0
U017,2026-08-25 09:59:00,login,LAPTOP-017,Riceside,/company/normal,normal,51.48,86,1,12,0,0
U002,2026-08-25 10:12:00,login,LAPTOP-002,Johnsonland,/company/normal,normal,72.65,100,1,10,0,0
U003,2026-08-25 10:25:00,login,LAPTOP-003,Lake Debra,/company/normal,normal,42.35,79,1,10,2,0
U003,2026-08-26 07:06:00,login,LAPTOP-003,Lake Debra,/company/normal,normal,64.58,89,1,16,1,0
U008,2026-08-26 07:25:00,login,LAPTOP-008,Port Jesseville,/company/normal,normal,57.8,104,1,22,8,0
U018,2026-08-26 07:34:00,login,LAPTOP-018,Kaylamouth,/company/normal,normal,51.23,116,1,16,0,0
U009,2026-08-26 07:51:00,login,LAPTOP-009,West Michael,/company/normal,normal,82.76,52,1,21,2,0
U017,2026-08-26 08:03:00,login,LAPTOP-017,Riceside,/company/normal,normal,52.02,115,1,13,2,0
U004,2026-08-26 08:22:00,login,LAPTOP-004,Port Lindachester,/company/normal,normal,68.8,74,1,15,4,0
U002,2026-08-26 08:26:00,login,LAPTOP-002,Johnsonland,/company/normal,normal,65.74,108,1,12,1,0
U005,2026-08-26 08:29:00,login,LAPTOP-005,Curtisfurt,/company/normal,normal,20.44,103,1,6,0,0
U013,2026-08-26 08:29:00,login,LAPTOP-013,Jasonfort,/company/normal,normal,110.87,116,1,26,5,0
U011,2026-08-26 08:34:00,login,LAPTOP-011,Lake Mark,/company/normal,normal,80.49,103,1,20,4,0
U014,2026-08-26 08:59:00,login,LAPTOP-014,Donaldside,/company/normal,normal,25.09,110,1,23,3,0
U006,2026-08-26 09:03:00,login,LAPTOP-006,Lake Stephenville,/company/normal,normal,114.18,130,1,20,4,0
U012,2026-08-26 09:27:00,login,LAPTOP-012,Richardland,/company/normal,normal,37.03,57,1,16,6,0
U007,2026-08-26 09:41:00,login,LAPTOP-007,Barbaraland,/company/normal,normal,89.56,94,1,24,7,0
U001,2026-08-26 09:50:00,login,LAPTOP-001,East Jill,/company/normal,normal,34.93,134,1,20,4,0
U016,2026-08-26 10:54:00,login,LAPTOP-016,East Courtneychester,/company/normal,normal,26.67,78,1,12,0,0
